seed,intrinsic_configuration,number_of_cylinders,number_of_views,running time,intrinsic_error,view,rotation_error,translation_error,cameramatrix_error
-8769118711286485959,none,2,1,-21.408483028411865,0.0,1,0.0,0.0,0.0
-8769118711286485959,fₓ,2,1,-11.939845085144043,0.0,1,0.0,0.0,0.0
-8769118711286485959,fₓ_fᵧ_cₓ_cᵧ,4,1,-24.659219980239868,0.0,1,0.0,0.0,0.0
-8769118711286485959,fₓ_fᵧ_cₓ_cᵧ,3,2,-2600.421709060669,0.0,1,0.0,0.0,0.0
-8769118711286485959,fₓ_fᵧ_cₓ_cᵧ,3,2,-2600.421709060669,0.0,2,0.0,0.0,0.0
-8769118711286485959,fₓ_fᵧ_skew_cₓ_cᵧ,4,1,-12.55203914642334,0.0,1,0.0,0.0,0.0
-8769118711286485959,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-450.12748503685,0.0,1,0.0,0.0,0.0
-8769118711286485959,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-450.12748503685,0.0,2,0.0,0.0,0.0
1866234449092483585,none,2,1,-5.221858978271484,0.0,1,2.8284271247461907,58.48792196457672,4.078463179301997
1866234449092483585,fₓ,2,1,-10.494135856628418,0.0,1,2.82842712474619,50.019117834640156,3407.21054565022
1866234449092483585,fₓ_fᵧ_cₓ_cᵧ,4,1,-12.285973072052002,0.0,1,0.0,0.0,0.0
1866234449092483585,fₓ_fᵧ_cₓ_cᵧ,3,2,-123.89041590690613,0.0,1,0.0,0.0,0.0
1866234449092483585,fₓ_fᵧ_cₓ_cᵧ,3,2,-123.89041590690613,0.0,2,0.0,0.0,0.0
1866234449092483585,fₓ_fᵧ_skew_cₓ_cᵧ,4,1,-11.68070101737976,0.0,1,0.0,0.0,0.0
1866234449092483585,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-606.5103919506073,0.0,1,0.0,0.0,0.0
1866234449092483585,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-606.5103919506073,0.0,2,0.0,0.0,0.0
2809633774513747273,none,2,1,-5.340640068054199,0.0,1,2.82842712474619,23.434893191771447,4.010822462018542
2809633774513747273,fₓ,2,1,-10.674471139907837,0.0,1,2.82842712474619,9.666584623488001,7962.343836029281
2809633774513747273,fₓ_fᵧ_cₓ_cᵧ,4,1,-23.630671977996826,0.0,1,0.0,0.0,0.0
2809633774513747273,fₓ_fᵧ_cₓ_cᵧ,3,2,-428.264466047287,0.0,1,0.0,0.0,0.0
2809633774513747273,fₓ_fᵧ_cₓ_cᵧ,3,2,-428.264466047287,0.0,2,0.0,0.0,0.0
2809633774513747273,fₓ_fᵧ_skew_cₓ_cᵧ,4,1,-11.664627075195312,0.0,1,0.0,0.0,0.0
2809633774513747273,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-483.9165349006653,0.0,1,0.0,0.0,0.0
2809633774513747273,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-483.9165349006653,0.0,2,0.0,0.0,0.0
-8881330492764550412,none,2,1,-5.866542100906372,0.0,1,0.0,0.0,0.0
-8881330492764550412,fₓ,2,1,-6.214202880859375,0.0,1,0.0,0.0,0.0
-8881330492764550412,fₓ_fᵧ_cₓ_cᵧ,4,1,-14.34380292892456,0.0,1,0.0,0.0,0.0
-8881330492764550412,fₓ_fᵧ_cₓ_cᵧ,3,2,-133.39049887657166,0.0,1,0.0,0.0,0.0
-8881330492764550412,fₓ_fᵧ_cₓ_cᵧ,3,2,-133.39049887657166,0.0,2,0.0,0.0,0.0
-8881330492764550412,fₓ_fᵧ_skew_cₓ_cᵧ,4,1,-12.318900108337402,0.0,1,0.0,0.0,0.0
-8881330492764550412,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-314.6904330253601,0.0,1,0.0,0.0,0.0
-8881330492764550412,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-314.6904330253601,0.0,2,0.0,0.0,0.0
2758054567035338930,none,2,1,-6.05757999420166,0.0,1,0.0,0.0,0.0
2758054567035338930,fₓ,2,1,-12.031877040863037,0.0,1,2.8284271247461903,31.102857617146473,18458.87666098695
2758054567035338930,fₓ_fᵧ_cₓ_cᵧ,4,1,-14.224248170852661,0.0,1,0.0,0.0,0.0
2758054567035338930,fₓ_fᵧ_cₓ_cᵧ,3,2,-280.15818190574646,0.0,1,0.0,0.0,0.0
2758054567035338930,fₓ_fᵧ_cₓ_cᵧ,3,2,-280.15818190574646,0.0,2,0.0,0.0,0.0
2758054567035338930,fₓ_fᵧ_skew_cₓ_cᵧ,4,1,-12.233665943145752,0.0,1,0.0,0.0,0.0
2758054567035338930,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-362.79077196121216,0.0,1,0.0,0.0,0.0
2758054567035338930,fₓ_fᵧ_skew_cₓ_cᵧ,3,2,-362.79077196121216,0.0,2,0.0,0.0,0.0
